,Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
3826,NE,CE,FORTALEZA,NT COMERCIAL DE PETRÓLEO LTDA., 08.960.096/0001-41,AVENIDA HUMBERTO MONTE,2550,,BELA VISTA,60450-000,ETANOL,02/01/2024,"4,89",,R$ / litro,BRANCA
3827,NE,CE,FORTALEZA,JOVITA COMERCIO DE PETROLEO LTDA, 08.529.918/0001-34,AVENIDA JOVITA FEITOSA,3175,,PARQUELANDIA,60455-410,GASOLINA,02/01/2024,"5,99",,R$ / litro,BRANCA
3828,NE,CE,FORTALEZA,JOVITA COMERCIO DE PETROLEO LTDA, 08.529.918/0001-34,AVENIDA JOVITA FEITOSA,3175,,PARQUELANDIA,60455-410,GASOLINA ADITIVADA,02/01/2024,"6,29",,R$ / litro,BRANCA
3829,NE,CE,FORTALEZA,JOVITA COMERCIO DE PETROLEO LTDA, 08.529.918/0001-34,AVENIDA JOVITA FEITOSA,3175,,PARQUELANDIA,60455-410,DIESEL S10,02/01/2024,"5,89",,R$ / litro,BRANCA
3830,NE,CE,FORTALEZA,JOVITA COMERCIO DE PETROLEO LTDA, 08.529.918/0001-34,AVENIDA JOVITA FEITOSA,3175,,PARQUELANDIA,60455-410,ETANOL,02/01/2024,"4,69",,R$ / litro,BRANCA
3831,NE,CE,FORTALEZA,CAUIPE REVENDEDORA DE PETROLEO LTDA, 35.075.597/0003-80,AVENIDA CARAPINIMA,1756,,BENFICA,60015-290,GASOLINA ADITIVADA,02/01/2024,"5,95",,R$ / litro,VIBRA
3832,NE,CE,FORTALEZA,CAUIPE REVENDEDORA DE PETROLEO LTDA, 35.075.597/0003-80,AVENIDA CARAPINIMA,1756,,BENFICA,60015-290,ETANOL,02/01/2024,"3,95",,R$ / litro,VIBRA
3833,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0006-00,RUA ALVARO DE ALENCAR,787,,CARLITO PAMPLONA,60714-012,GNV,02/01/2024,"4,99",,R$ / m³,VIBRA
3834,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0006-00,RUA ALVARO DE ALENCAR,787,,CARLITO PAMPLONA,60714-012,GASOLINA,02/01/2024,"5,99",,R$ / litro,VIBRA
3835,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0006-00,RUA ALVARO DE ALENCAR,787,,CARLITO PAMPLONA,60714-012,GASOLINA ADITIVADA,02/01/2024,"6,19",,R$ / litro,VIBRA
3836,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0006-00,RUA ALVARO DE ALENCAR,787,,CARLITO PAMPLONA,60714-012,DIESEL S10,02/01/2024,"5,99",,R$ / litro,VIBRA
3837,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0006-00,RUA ALVARO DE ALENCAR,787,,CARLITO PAMPLONA,60714-012,ETANOL,02/01/2024,"4,49",,R$ / litro,VIBRA
3838,NE,CE,FORTALEZA,NORDESTE COMERCIAL DE ALUMÍNIO & PETRÓLEO LTDA, 12.314.233/0002-29,AVENIDA SARGENTO HERMÍNIO,1176,,MONTE CASTELO,60326-500,GNV,02/01/2024,"4,99",,R$ / m³,RAIZEN
3839,NE,CE,FORTALEZA,NORDESTE COMERCIAL DE ALUMÍNIO & PETRÓLEO LTDA, 12.314.233/0002-29,AVENIDA SARGENTO HERMÍNIO,1176,,MONTE CASTELO,60326-500,GASOLINA,02/01/2024,"5,99",,R$ / litro,RAIZEN
3840,NE,CE,FORTALEZA,NORDESTE COMERCIAL DE ALUMÍNIO & PETRÓLEO LTDA, 12.314.233/0002-29,AVENIDA SARGENTO HERMÍNIO,1176,,MONTE CASTELO,60326-500,DIESEL S10,02/01/2024,"5,99",,R$ / litro,RAIZEN
3841,NE,CE,FORTALEZA,NORDESTE COMERCIAL DE ALUMÍNIO & PETRÓLEO LTDA, 12.314.233/0002-29,AVENIDA SARGENTO HERMÍNIO,1176,,MONTE CASTELO,60326-500,ETANOL,02/01/2024,"4,49",,R$ / litro,RAIZEN
3842,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0005-10,AVENIDA PROFESSOR GOMES DE MATOS,1065,,MONTESE,60410-001,GASOLINA,02/01/2024,"5,95",,R$ / litro,IPIRANGA
3843,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0005-10,AVENIDA PROFESSOR GOMES DE MATOS,1065,,MONTESE,60410-001,DIESEL S10,02/01/2024,"5,59",,R$ / litro,IPIRANGA
3844,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0005-10,AVENIDA PROFESSOR GOMES DE MATOS,1065,,MONTESE,60410-001,ETANOL,02/01/2024,"3,99",,R$ / litro,IPIRANGA
3845,NE,CE,FORTALEZA,COMERCIAL SUPER DE DERIVADOS DE PETRÓLEO LTDA, 05.916.454/0001-20,RUA HERIBALDO COSTA,450,,HENRIQUE JORGE,60525-190,GNV,02/01/2024,"4,99",,R$ / m³,ALESAT
3846,NE,CE,FORTALEZA,COMERCIAL SUPER DE DERIVADOS DE PETRÓLEO LTDA, 05.916.454/0001-20,RUA HERIBALDO COSTA,450,,HENRIQUE JORGE,60525-190,GASOLINA,02/01/2024,"5,99",,R$ / litro,ALESAT
3847,NE,CE,FORTALEZA,COMERCIAL SUPER DE DERIVADOS DE PETRÓLEO LTDA, 05.916.454/0001-20,RUA HERIBALDO COSTA,450,,HENRIQUE JORGE,60525-190,GASOLINA ADITIVADA,02/01/2024,"5,99",,R$ / litro,ALESAT
3848,NE,CE,FORTALEZA,COMERCIAL SUPER DE DERIVADOS DE PETRÓLEO LTDA, 05.916.454/0001-20,RUA HERIBALDO COSTA,450,,HENRIQUE JORGE,60525-190,DIESEL S10,02/01/2024,"5,99",,R$ / litro,ALESAT
3849,NE,CE,FORTALEZA,COMERCIAL SUPER DE DERIVADOS DE PETRÓLEO LTDA, 05.916.454/0001-20,RUA HERIBALDO COSTA,450,,HENRIQUE JORGE,60525-190,ETANOL,02/01/2024,"4,59",,R$ / litro,ALESAT
3850,NE,CE,FORTALEZA,LEONARDO LIMA E CIA LTDA - EPP, 07.936.289/0001-02,AVENIDA PRES CASTELO BRANCO,709,,JACARECANGA,60312-060,GASOLINA,02/01/2024,"5,98",,R$ / litro,IPIRANGA
3851,NE,CE,FORTALEZA,LEONARDO LIMA E CIA LTDA - EPP, 07.936.289/0001-02,AVENIDA PRES CASTELO BRANCO,709,,JACARECANGA,60312-060,GASOLINA ADITIVADA,02/01/2024,"6,09",,R$ / litro,IPIRANGA
3852,NE,CE,FORTALEZA,LEONARDO LIMA E CIA LTDA - EPP, 07.936.289/0001-02,AVENIDA PRES CASTELO BRANCO,709,,JACARECANGA,60312-060,DIESEL S10,02/01/2024,"6,09",,R$ / litro,IPIRANGA
3853,NE,CE,FORTALEZA,LEONARDO LIMA E CIA LTDA - EPP, 07.936.289/0001-02,AVENIDA PRES CASTELO BRANCO,709,,JACARECANGA,60312-060,ETANOL,02/01/2024,"4,32",,R$ / litro,IPIRANGA
3854,NE,CE,FORTALEZA,POSTO MIL COMERCIO DE DERIVADOS DE PETROLEO LTDA, 02.782.524/0001-07,RUA CARLOS CHAGAS,864,,BOM SUCESSO,60541-550,GASOLINA,02/01/2024,"5,94",,R$ / litro,BRANCA
3855,NE,CE,FORTALEZA,POSTO MIL COMERCIO DE DERIVADOS DE PETROLEO LTDA, 02.782.524/0001-07,RUA CARLOS CHAGAS,864,,BOM SUCESSO,60541-550,GASOLINA ADITIVADA,02/01/2024,"5,94",,R$ / litro,BRANCA
3856,NE,CE,FORTALEZA,POSTO MIL COMERCIO DE DERIVADOS DE PETROLEO LTDA, 02.782.524/0001-07,RUA CARLOS CHAGAS,864,,BOM SUCESSO,60541-550,DIESEL S10,02/01/2024,"5,89",,R$ / litro,BRANCA
3857,NE,CE,FORTALEZA,POSTO MIL COMERCIO DE DERIVADOS DE PETROLEO LTDA, 02.782.524/0001-07,RUA CARLOS CHAGAS,864,,BOM SUCESSO,60541-550,ETANOL,02/01/2024,"3,93",,R$ / litro,BRANCA
3858,NE,CE,FORTALEZA,CHAC COMERCIAL DE COMBUSTIVEIS LTDA, 07.122.559/0001-33,AVENIDA PRESIDENTE COSTA E SILVA,2721,,PARQUE DOIS IRMAOS,60761-191,GNV,02/01/2024,"4,99",,R$ / m³,RAIZEN
3859,NE,CE,FORTALEZA,CHAC COMERCIAL DE COMBUSTIVEIS LTDA, 07.122.559/0001-33,AVENIDA PRESIDENTE COSTA E SILVA,2721,,PARQUE DOIS IRMAOS,60761-191,GASOLINA,02/01/2024,"5,99",,R$ / litro,RAIZEN
3860,NE,CE,FORTALEZA,CHAC COMERCIAL DE COMBUSTIVEIS LTDA, 07.122.559/0001-33,AVENIDA PRESIDENTE COSTA E SILVA,2721,,PARQUE DOIS IRMAOS,60761-191,GASOLINA ADITIVADA,02/01/2024,"6,19",,R$ / litro,RAIZEN
3861,NE,CE,FORTALEZA,CHAC COMERCIAL DE COMBUSTIVEIS LTDA, 07.122.559/0001-33,AVENIDA PRESIDENTE COSTA E SILVA,2721,,PARQUE DOIS IRMAOS,60761-191,DIESEL S10,02/01/2024,"6,39",,R$ / litro,RAIZEN
3862,NE,CE,FORTALEZA,CHAC COMERCIAL DE COMBUSTIVEIS LTDA, 07.122.559/0001-33,AVENIDA PRESIDENTE COSTA E SILVA,2721,,PARQUE DOIS IRMAOS,60761-191,ETANOL,02/01/2024,"4,69",,R$ / litro,RAIZEN
3863,NE,CE,FORTALEZA,J Q N COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA, 09.496.274/0001-98,PRACA CRISTO REDENTOR,SN,,CENTRO,60060-650,GASOLINA,02/01/2024,"5,99",,R$ / litro,RAIZEN
3864,NE,CE,FORTALEZA,J Q N COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA, 09.496.274/0001-98,PRACA CRISTO REDENTOR,SN,,CENTRO,60060-650,GASOLINA ADITIVADA,02/01/2024,"6,09",,R$ / litro,RAIZEN
3865,NE,CE,FORTALEZA,J Q N COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA, 09.496.274/0001-98,PRACA CRISTO REDENTOR,SN,,CENTRO,60060-650,DIESEL S10,02/01/2024,"5,79",,R$ / litro,RAIZEN
3866,NE,CE,FORTALEZA,J Q N COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA, 09.496.274/0001-98,PRACA CRISTO REDENTOR,SN,,CENTRO,60060-650,ETANOL,02/01/2024,"4,29",,R$ / litro,RAIZEN
3867,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0002-78,AVENIDA PRES CASTELO BRANCO,240,,CENTRO,60191-070,GNV,02/01/2024,"4,99",,R$ / m³,VIBRA
3868,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0002-78,AVENIDA PRES CASTELO BRANCO,240,,CENTRO,60191-070,GASOLINA,02/01/2024,"5,99",,R$ / litro,VIBRA
3869,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0002-78,AVENIDA PRES CASTELO BRANCO,240,,CENTRO,60191-070,GASOLINA ADITIVADA,02/01/2024,"6,39",,R$ / litro,VIBRA
3870,NE,CE,FORTALEZA,DALLAS DERIVADOS DE PETROLEO LTDA, 10.478.691/0002-78,AVENIDA PRES CASTELO BRANCO,240,,CENTRO,60191-070,ETANOL,02/01/2024,"4,59",,R$ / litro,VIBRA
3871,NE,CE,FORTALEZA,POSTO GUARACI LTDA, 34.959.478/0001-65,PRACA GUSTAVO BARROSO,S N,,JACARECANGA,60010-700,GASOLINA,02/01/2024,"5,94",,R$ / litro,BRANCA
3872,NE,CE,FORTALEZA,POSTO GUARACI LTDA, 34.959.478/0001-65,PRACA GUSTAVO BARROSO,S N,,JACARECANGA,60010-700,GASOLINA ADITIVADA,02/01/2024,"5,99",,R$ / litro,BRANCA
3873,NE,CE,FORTALEZA,POSTO GUARACI LTDA, 34.959.478/0001-65,PRACA GUSTAVO BARROSO,S N,,JACARECANGA,60010-700,DIESEL S10,02/01/2024,"5,79",,R$ / litro,BRANCA
3874,NE,CE,FORTALEZA,POSTO GUARACI LTDA, 34.959.478/0001-65,PRACA GUSTAVO BARROSO,S N,,JACARECANGA,60010-700,ETANOL,02/01/2024,"4,29",,R$ / litro,BRANCA
3875,NE,CE,FORTALEZA,DIAS E ROMA LTDA, 12.255.543/0001-39,RODOVIA DOUTOR MENDEL STEINBRUCH,6060,,ARACAPE,60765-005,GASOLINA,02/01/2024,"5,99",,R$ / litro,VIBRA
3876,NE,CE,FORTALEZA,DIAS E ROMA LTDA, 12.255.543/0001-39,RODOVIA DOUTOR MENDEL STEINBRUCH,6060,,ARACAPE,60765-005,GASOLINA ADITIVADA,02/01/2024,"6,09",,R$ / litro,VIBRA
3877,NE,CE,FORTALEZA,DIAS E ROMA LTDA, 12.255.543/0001-39,RODOVIA DOUTOR MENDEL STEINBRUCH,6060,,ARACAPE,60765-005,ETANOL,02/01/2024,"4,09",,R$ / litro,VIBRA
3878,NE,CE,FORTALEZA,C M DERIVADOS DE PETROLEO LTDA, 07.681.281/0001-34,AVENIDA PROFESSOR GOMES DE MATOS,38,,JARDIM AMERICA,60410-424,GASOLINA,02/01/2024,"5,95",,R$ / litro,ALESAT
3879,NE,CE,FORTALEZA,C M DERIVADOS DE PETROLEO LTDA, 07.681.281/0001-34,AVENIDA PROFESSOR GOMES DE MATOS,38,,JARDIM AMERICA,60410-424,GASOLINA ADITIVADA,02/01/2024,"6,19",,R$ / litro,ALESAT
3880,NE,CE,FORTALEZA,C M DERIVADOS DE PETROLEO LTDA, 07.681.281/0001-34,AVENIDA PROFESSOR GOMES DE MATOS,38,,JARDIM AMERICA,60410-424,DIESEL S10,02/01/2024,"5,75",,R$ / litro,ALESAT
3881,NE,CE,FORTALEZA,C M DERIVADOS DE PETROLEO LTDA, 07.681.281/0001-34,AVENIDA PROFESSOR GOMES DE MATOS,38,,JARDIM AMERICA,60410-424,ETANOL,02/01/2024,"4,45",,R$ / litro,ALESAT
3882,NE,CE,FORTALEZA,ORDAMAS ORGANIZACAO DAMAS LTDA, 07.600.604/0001-18,AVENIDA JOAO PESSOA,5834,,DAMAS,60425-813,GASOLINA,02/01/2024,"5,97",,R$ / litro,BRANCA
3883,NE,CE,FORTALEZA,ORDAMAS ORGANIZACAO DAMAS LTDA, 07.600.604/0001-18,AVENIDA JOAO PESSOA,5834,,DAMAS,60425-813,GASOLINA ADITIVADA,02/01/2024,"5,99",,R$ / litro,BRANCA
3884,NE,CE,FORTALEZA,ORDAMAS ORGANIZACAO DAMAS LTDA, 07.600.604/0001-18,AVENIDA JOAO PESSOA,5834,,DAMAS,60425-813,DIESEL S10,02/01/2024,"5,59",,R$ / litro,BRANCA
3885,NE,CE,FORTALEZA,ORDAMAS ORGANIZACAO DAMAS LTDA, 07.600.604/0001-18,AVENIDA JOAO PESSOA,5834,,DAMAS,60425-813,ETANOL,02/01/2024,"3,99",,R$ / litro,BRANCA
3886,NE,CE,FORTALEZA,POSTO  MORRO DO  OURO LTDA, 05.369.087/0001-92,RUA CORONEL CARNEIRO DA CUNHA,503,0,MONTE CASTELO,60010-470,GASOLINA,02/01/2024,"5,97",,R$ / litro,VIBRA
3887,NE,CE,FORTALEZA,POSTO  MORRO DO  OURO LTDA, 05.369.087/0001-92,RUA CORONEL CARNEIRO DA CUNHA,503,0,MONTE CASTELO,60010-470,GASOLINA ADITIVADA,02/01/2024,"6,49",,R$ / litro,VIBRA
3888,NE,CE,FORTALEZA,POSTO  MORRO DO  OURO LTDA, 05.369.087/0001-92,RUA CORONEL CARNEIRO DA CUNHA,503,0,MONTE CASTELO,60010-470,ETANOL,02/01/2024,"4,59",,R$ / litro,VIBRA
3889,NE,CE,FORTALEZA,D X COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA, 05.063.200/0001-07,RUA PROF HERIBALDO COSTA,1590,,JOAO XXIII,60525-190,GASOLINA,02/01/2024,"5,94",,R$ / litro,BRANCA
3890,NE,CE,FORTALEZA,D X COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA, 05.063.200/0001-07,RUA PROF HERIBALDO COSTA,1590,,JOAO XXIII,60525-190,GASOLINA ADITIVADA,02/01/2024,"5,99",,R$ / litro,BRANCA
3891,NE,CE,FORTALEZA,D X COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA, 05.063.200/0001-07,RUA PROF HERIBALDO COSTA,1590,,JOAO XXIII,60525-190,DIESEL S10,02/01/2024,"6,19",,R$ / litro,BRANCA
3892,NE,CE,FORTALEZA,D X COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA, 05.063.200/0001-07,RUA PROF HERIBALDO COSTA,1590,,JOAO XXIII,60525-190,ETANOL,02/01/2024,"3,92",,R$ / litro,BRANCA
3893,NE,CE,FORTALEZA,M. MADALENA DISTRIBUIDORA DE COMBUSTIVEL LTDA, 04.934.167/0001-80,AV.GODOFREDO MACIEL,6380,,MONDUBIM,60762-120,GASOLINA,02/01/2024,"5,99",,R$ / litro,SP
3894,NE,CE,FORTALEZA,M. MADALENA DISTRIBUIDORA DE COMBUSTIVEL LTDA, 04.934.167/0001-80,AV.GODOFREDO MACIEL,6380,,MONDUBIM,60762-120,DIESEL S10,02/01/2024,"5,89",,R$ / litro,SP
3895,NE,CE,FORTALEZA,M. MADALENA DISTRIBUIDORA DE COMBUSTIVEL LTDA, 04.934.167/0001-80,AV.GODOFREDO MACIEL,6380,,MONDUBIM,60762-120,ETANOL,02/01/2024,"4,09",,R$ / litro,SP
3896,NE,CE,FORTALEZA,POSTO NOSSA SENHORA DA PENHA LTDA, 04.320.821/0001-66,AVENIDA GAL OSORIO DE PAIVA,1851,,VIL PERY,60720-001,GASOLINA,02/01/2024,"5,95",,R$ / litro,VIBRA
3897,NE,CE,FORTALEZA,POSTO NOSSA SENHORA DA PENHA LTDA, 04.320.821/0001-66,AVENIDA GAL OSORIO DE PAIVA,1851,,VIL PERY,60720-001,GASOLINA ADITIVADA,02/01/2024,"6,05",,R$ / litro,VIBRA
3898,NE,CE,FORTALEZA,POSTO NOSSA SENHORA DA PENHA LTDA, 04.320.821/0001-66,AVENIDA GAL OSORIO DE PAIVA,1851,,VIL PERY,60720-001,DIESEL S10,02/01/2024,"5,79",,R$ / litro,VIBRA
3899,NE,CE,FORTALEZA,POSTO NOSSA SENHORA DA PENHA LTDA, 04.320.821/0001-66,AVENIDA GAL OSORIO DE PAIVA,1851,,VIL PERY,60720-001,ETANOL,02/01/2024,"4,28",,R$ / litro,VIBRA
3900,NE,CE,FORTALEZA,FT COMERCIO DE PETROLEO LTDA, 03.773.814/0001-57,AVENIDA BEZERRA DE MENEZES,285,,FARIAS BRITO,60325-000,GNV,02/01/2024,"4,99",,R$ / m³,RAIZEN
3901,NE,CE,FORTALEZA,FT COMERCIO DE PETROLEO LTDA, 03.773.814/0001-57,AVENIDA BEZERRA DE MENEZES,285,,FARIAS BRITO,60325-000,GASOLINA,02/01/2024,"5,95",,R$ / litro,RAIZEN
3902,NE,CE,FORTALEZA,FT COMERCIO DE PETROLEO LTDA, 03.773.814/0001-57,AVENIDA BEZERRA DE MENEZES,285,,FARIAS BRITO,60325-000,GASOLINA ADITIVADA,02/01/2024,"6,29",,R$ / litro,RAIZEN
3903,NE,CE,FORTALEZA,FT COMERCIO DE PETROLEO LTDA, 03.773.814/0001-57,AVENIDA BEZERRA DE MENEZES,285,,FARIAS BRITO,60325-000,DIESEL S10,02/01/2024,"6,1",,R$ / litro,RAIZEN
3904,NE,CE,FORTALEZA,FT COMERCIO DE PETROLEO LTDA, 03.773.814/0001-57,AVENIDA BEZERRA DE MENEZES,285,,FARIAS BRITO,60325-000,ETANOL,02/01/2024,"4,69",,R$ / litro,RAIZEN
3905,NE,CE,FORTALEZA,VM FERNANDES COMERCIO DE COMBUSTIVEIS LTDA, 02.756.334/0003-87,AVENIDA DOS EXPEDICIONÁRIOS,9977,,ITAPERI,60410-411,GASOLINA,02/01/2024,"5,99",,R$ / litro,VIBRA
3906,NE,CE,FORTALEZA,VM FERNANDES COMERCIO DE COMBUSTIVEIS LTDA, 02.756.334/0003-87,AVENIDA DOS EXPEDICIONÁRIOS,9977,,ITAPERI,60410-411,GASOLINA ADITIVADA,02/01/2024,"6,09",,R$ / litro,VIBRA
3907,NE,CE,FORTALEZA,VM FERNANDES COMERCIO DE COMBUSTIVEIS LTDA, 02.756.334/0003-87,AVENIDA DOS EXPEDICIONÁRIOS,9977,,ITAPERI,60410-411,ETANOL,02/01/2024,"4,09",,R$ / litro,VIBRA
